,Date,Price,Open,High,Low,Vol.,Change %
746,6/3/15,"2,114.07","2,110.64","2,121.92","2,109.61",-,0.21%
747,6/2/15,"2,109.60","2,110.41","2,117.59","2,099.14",-,-0.10%
748,6/1/15,"2,111.73","2,108.64","2,119.15","2,102.54",-,0.21%
749,5/29/15,"2,107.39","2,120.66","2,120.66","2,104.89",-,-0.63%
750,5/28/15,"2,120.79","2,122.27","2,122.27","2,112.86",-,-0.13%
751,5/27/15,"2,123.48","2,105.13","2,126.22","2,105.13",-,0.92%
752,5/26/15,"2,104.20","2,125.34","2,125.34","2,099.18",-,-1.03%
753,5/22/15,"2,126.06","2,130.36","2,132.15","2,126.06",-,-0.22%
754,5/21/15,"2,130.82","2,125.55","2,134.28","2,122.95",-,0.23%
755,5/20/15,"2,125.85","2,127.79","2,134.72","2,122.59",-,-0.09%
756,5/19/15,"2,127.83","2,129.45","2,133.02","2,124.50",-,-0.06%
757,5/18/15,"2,129.20","2,121.30","2,131.78","2,120.01",-,0.30%
758,5/15/15,"2,122.73","2,122.07","2,123.89","2,116.79",-,0.08%
759,5/14/15,"2,121.10","2,100.43","2,121.45","2,100.43",-,1.08%
760,5/13/15,"2,098.48","2,099.62","2,110.19","2,096.04",-,-0.03%
761,5/12/15,"2,099.12","2,102.87","2,105.06","2,085.57",-,-0.29%
762,5/11/15,"2,105.33","2,115.56","2,117.69","2,104.58",-,-0.51%
763,5/8/15,"2,116.10","2,092.13","2,117.66","2,092.13",-,1.35%
764,5/7/15,"2,088.00","2,079.96","2,092.90","2,074.99",-,0.38%
765,5/6/15,"2,080.15","2,091.26","2,098.42","2,067.93",-,-0.45%
766,5/5/15,"2,089.46","2,112.63","2,115.24","2,088.46",-,-1.18%
767,5/4/15,"2,114.49","2,110.23","2,120.95","2,110.23",-,0.29%
768,5/1/15,"2,108.29","2,087.38","2,108.41","2,087.38",-,1.09%
769,4/30/15,"2,085.51","2,105.52","2,105.52","2,077.59",-,-1.01%
770,4/29/15,"2,106.85","2,112.49","2,113.65","2,097.41",-,-0.37%
771,4/28/15,"2,114.76","2,108.35","2,116.09","2,094.89",-,0.28%
772,4/27/15,"2,108.92","2,119.29","2,125.92","2,107.04",-,-0.41%
773,4/24/15,"2,117.69","2,112.80","2,120.92","2,112.80",-,0.23%
774,4/23/15,"2,112.93","2,107.21","2,120.49","2,103.19",-,0.24%
775,4/22/15,"2,107.96","2,098.27","2,109.98","2,091.05",-,0.51%
776,4/21/15,"2,097.29","2,102.82","2,109.64","2,094.38",-,-0.15%
777,4/20/15,"2,100.40","2,084.11","2,103.94","2,084.11",-,0.92%
778,4/17/15,"2,081.18","2,102.58","2,102.58","2,072.37",-,-1.13%
779,4/16/15,"2,104.99","2,105.96","2,111.30","2,100.02",-,-0.08%
780,4/15/15,"2,106.63","2,097.82","2,111.91","2,097.82",-,0.51%
781,4/14/15,"2,095.84","2,092.28","2,098.62","2,083.24",-,0.16%
782,4/13/15,"2,092.43","2,102.03","2,107.65","2,092.33",-,-0.46%
783,4/10/15,"2,102.06","2,091.51","2,102.61","2,091.51",-,0.52%
784,4/9/15,"2,091.18","2,081.29","2,093.31","2,074.29",-,0.45%
785,4/8/15,"2,081.90","2,076.94","2,086.69","2,073.30",-,0.27%
786,4/7/15,"2,076.33","2,080.79","2,089.81","2,076.10",-,-0.21%
787,4/6/15,"2,080.62","2,064.87","2,086.99","2,056.52",-,0.66%
788,4/2/15,"2,066.96","2,060.03","2,072.17","2,057.32",-,0.35%
789,4/1/15,"2,059.69","2,067.63","2,067.63","2,048.38",-,-0.40%
790,3/31/15,"2,067.89","2,084.05","2,084.05","2,067.04",-,-0.88%
791,3/30/15,"2,086.24","2,064.11","2,088.97","2,064.11",-,1.22%
792,3/27/15,"2,061.02","2,055.78","2,062.83","2,052.96",-,0.24%
793,3/26/15,"2,056.15","2,059.94","2,067.15","2,045.50",-,-0.24%
794,3/25/15,"2,061.05","2,093.10","2,097.43","2,061.05",-,-1.46%
795,3/24/15,"2,091.50","2,103.94","2,107.63","2,091.50",-,-0.61%
796,3/23/15,"2,104.42","2,107.99","2,114.86","2,104.42",-,-0.17%
797,3/20/15,"2,108.10","2,090.32","2,113.92","2,090.32",-,0.90%
798,3/19/15,"2,089.27","2,098.69","2,098.69","2,085.56",-,-0.49%
799,3/18/15,"2,099.50","2,072.84","2,106.85","2,061.23",-,1.22%
800,3/17/15,"2,074.28","2,080.59","2,080.59","2,065.08",-,-0.33%
801,3/16/15,"2,081.19","2,055.35","2,081.41","2,055.35",-,1.35%
802,3/13/15,"2,053.40","2,064.56","2,064.56","2,041.17",-,-0.61%
803,3/12/15,"2,065.95","2,041.10","2,066.41","2,041.10",-,1.26%
804,3/11/15,"2,040.24","2,044.69","2,050.08","2,039.69",-,-0.19%
805,3/10/15,"2,044.16","2,076.14","2,076.14","2,044.16",-,-1.70%
806,3/9/15,"2,079.43","2,072.25","2,083.49","2,072.21",-,0.39%
807,3/6/15,"2,071.26","2,100.91","2,100.91","2,067.27",-,-1.42%
808,3/5/15,"2,101.04","2,098.54","2,104.25","2,095.22",-,0.12%
809,3/4/15,"2,098.53","2,107.72","2,107.72","2,087.62",-,-0.44%
810,3/3/15,"2,107.78","2,115.76","2,115.76","2,098.26",-,-0.45%
811,3/2/15,"2,117.39","2,105.23","2,117.52","2,104.50",-,0.61%
812,2/27/15,"2,104.50","2,110.88","2,112.74","2,103.75",-,-0.30%
813,2/26/15,"2,110.74","2,113.91","2,113.91","2,103.76",-,-0.15%
814,2/25/15,"2,113.86","2,115.30","2,119.59","2,109.89",-,-0.08%
815,2/24/15,"2,115.48","2,109.10","2,117.94","2,105.87",-,0.28%
816,2/23/15,"2,109.66","2,109.83","2,110.05","2,103.00",-,-0.03%
817,2/20/15,"2,110.30","2,097.65","2,110.61","2,085.44",-,0.61%
818,2/19/15,"2,097.45","2,099.25","2,102.13","2,090.79",-,-0.11%
819,2/18/15,"2,099.68","2,099.16","2,100.23","2,092.15",-,-0.03%
820,2/17/15,"2,100.34","2,096.47","2,101.30","2,089.80",-,0.16%
821,2/13/15,"2,096.99","2,088.78","2,097.03","2,086.70",-,0.41%
822,2/12/15,"2,088.48","2,069.98","2,088.53","2,069.98",-,0.96%
823,2/11/15,"2,068.53","2,068.55","2,073.48","2,057.99",-,-0.00%
824,2/10/15,"2,068.59","2,049.38","2,070.86","2,048.62",-,1.07%
825,2/9/15,"2,046.74","2,053.47","2,056.16","2,041.88",-,-0.42%
826,2/6/15,"2,055.47","2,062.28","2,072.40","2,049.97",-,-0.34%
827,2/5/15,"2,062.52","2,043.45","2,063.55","2,043.45",-,1.03%
828,2/4/15,"2,041.51","2,048.86","2,054.74","2,036.72",-,-0.42%
829,2/3/15,"2,050.03","2,022.71","2,050.30","2,022.71",-,1.44%
830,2/2/15,"2,020.85","1,996.67","2,021.66","1,980.90",-,1.30%
831,1/30/15,"1,994.99","2,019.35","2,023.32","1,993.38",-,-1.30%
832,1/29/15,"2,021.25","2,002.45","2,024.64","1,989.18",-,0.95%
833,1/28/15,"2,002.16","2,032.34","2,042.49","2,001.49",-,-1.35%
834,1/27/15,"2,029.55","2,047.86","2,047.86","2,019.91",-,-1.34%
835,1/26/15,"2,057.09","2,050.42","2,057.62","2,040.97",-,0.26%
836,1/23/15,"2,051.82","2,062.98","2,062.98","2,050.54",-,-0.55%
837,1/22/15,"2,063.15","2,034.30","2,064.62","2,026.38",-,1.53%
838,1/21/15,"2,032.12","2,020.19","2,038.29","2,012.04",-,0.47%
839,1/20/15,"2,022.55","2,020.76","2,028.94","2,004.49",-,0.15%
840,1/16/15,"2,019.42","1,992.25","2,020.46","1,988.12",-,1.34%
841,1/15/15,"1,992.67","2,013.75","2,021.35","1,991.47",-,-0.92%
842,1/14/15,"2,011.27","2,018.40","2,018.40","1,988.44",-,-0.58%
843,1/13/15,"2,023.03","2,031.58","2,056.93","2,008.25",-,-0.26%
844,1/12/15,"2,028.26","2,046.13","2,049.30","2,022.58",-,-0.81%
845,1/9/15,"2,044.81","2,063.45","2,064.43","2,038.33",-,-0.84%
846,1/8/15,"2,062.14","2,030.61","2,064.08","2,030.61",-,1.79%
847,1/7/15,"2,025.90","2,005.55","2,029.61","2,005.55",-,1.16%
848,1/6/15,"2,002.61","2,022.15","2,030.25","1,992.44",-,-0.89%
849,1/5/15,"2,020.58","2,054.44","2,054.44","2,017.34",-,-1.83%
850,1/2/15,"2,058.20","2,058.90","2,072.36","2,046.04",-,-0.03%
851,12/31/14,"2,058.90","2,082.11","2,085.58","2,057.94",-,-1.03%
852,12/30/14,"2,080.35","2,088.49","2,088.49","2,079.53",-,-0.49%
853,12/29/14,"2,090.57","2,087.63","2,093.55","2,085.75",-,0.09%
854,12/26/14,"2,088.77","2,084.30","2,092.70","2,084.30",-,0.33%
855,12/24/14,"2,081.88","2,083.25","2,087.56","2,081.86",-,-0.01%
856,12/23/14,"2,082.17","2,081.48","2,086.73","2,079.77",-,0.17%
857,12/22/14,"2,078.54","2,069.28","2,078.76","2,069.28",-,0.38%
858,12/19/14,"2,070.65","2,061.04","2,077.85","2,061.03",-,0.46%
859,12/18/14,"2,061.23","2,018.98","2,061.23","2,018.98",-,2.40%
860,12/17/14,"2,012.89","1,973.77","2,016.75","1,973.77",-,2.04%
861,12/16/14,"1,972.74","1,986.71","2,016.89","1,972.56",-,-0.85%
862,12/15/14,"1,989.63","2,005.03","2,018.69","1,982.26",-,-0.63%
